Tipo di attività,Data,Preferita,Titolo,Distanza,Calorie,Tempo,FC Media,FC max,TE attività aerobica,Cadenza pedalata media,Cadenza pedalata max,Velocità media,Velocità max,Ascesa totale,Discesa totale,Lunghezza media passo,Rapporto verticale medio,Oscillazione verticale media,Tempo medio di contatto con il suolo,Media bilanciamento TCS,Tempo riposo,Training Stress Score®,Potenza media,Potenza max,Grit,Flow,Totale bracciate,Swolf medio,Frequenza media vogate,Ripetizioni totali,Serie totali,Tempo di immersione,Temperatura min,Intervallo di superficie,Decompressione,Tempo Lap migliore,Numero di Lap,Temperatura max,Frequenza respiratoria media,Frequenza respiratoria minima,Frequenza respiratoria massima,Tempo in movimento,Tempo trascorso,Quota minima,Quota massima
Ellittica,2023-02-17 11:52:12,false,"Ellittica","9.21","362","00:44:28","107","123","1.5","139","167","12.4","--","--","--","0.00","0.0","0.0","0","--","--","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","27.0","0:00","No","44:28.04.2","1","31.0","28","20","39","00:00:00","00:44:28","--","--"
Trail Running,2023-02-16 13:10:32,false,"Castel Mella Trail Running","24.29","1,642","02:00:29","138","151","4.8","169","182","4:58","4:24","63","59","1.19","8.4","10.3","260","50.3% S / 49.7% D","--","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","21.0","0:00","No","01:19.61.3","25","27.0","31","20","43","02:00:21","02:00:29","102","132"
Sci su pista/Snowboard,2023-02-15 10:14:22,false,"Ortisei Sci su pista/Snowboard","47.84","633","01:40:57","97","128","0.6","--","--","28.4","68.2","--","8,369","0.00","0.0","0.0","0","--","--","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","13.0","0:00","No","01:00.00.2","23","28.0","22","13","32","01:35:42","06:50:54","1,280","2,489"
Ciclismo indoor,2023-02-14 20:40:33,false,"Ciclismo indoor","23.59","370","01:05:06","95","110","1.0","--","--","21.7","--","--","--","0.00","0.0","0.0","0","--","--","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","31.0","0:00","No","01:05:05.90.7","1","34.0","26","18","35","00:00:00","01:05:06","--","--"
Cardio,2023-02-14 19:03:23,false,"Cardio","0.00","445","01:35:08","86","132","0.7","--","--","--","--","--","--","0.00","0.0","0.0","0","--","--","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","29.0","0:00","No","01:35:07.50.6","1","32.0","21","14","32","00:00:00","01:35:08","--","--"
Ellittica,2023-02-14 17:53:13,false,"Ellittica","13.51","517","01:05:05","109","127","2.0","141","171","12.5","--","--","--","0.00","0.0","0.0","0","--","--","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","28.0","0:00","No","01:05:05.37.8","1","31.0","28","17","38","00:00:00","01:05:05","--","--"
Trail Running,2023-02-13 12:59:32,false,"Castel Mella Trail Running","22.64","1,597","02:00:31","135","162","4.7","167","191","5:19","3:07","62","61","1.11","9.1","10.2","268","49.5% S / 50.5% D","--","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","17.0","0:00","No","03:34.90.2","23","29.0","35","22","45","02:00:20","02:00:31","100","134"
Trail Running,2023-02-11 08:35:48,false,"Brescia Trail Running","31.15","2,286","03:09:23","132","153","4.7","165","213","6:05","4:29","909","907","0.99","9.6","9.6","279","50.3% S / 49.8% D","--","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","8.0","0:00","No","00:43.09.4","32","27.0","32","19","46","03:09:07","03:15:05","133","876"
Ciclismo indoor,2023-02-10 21:22:16,false,"Ciclismo indoor","12.08","178","00:33:26","91","108","0.5","--","--","21.7","--","--","--","0.00","0.0","0.0","0","--","--","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","31.0","0:00","No","33:26.32.4","1","32.0","--","--","--","00:00:00","00:33:26","--","--"
Cardio,2023-02-10 20:51:14,false,"Cardio","0.00","121","00:30:04","79","132","0.2","--","--","--","--","--","--","0.00","0.0","0.0","0","--","--","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","29.0","0:00","No","30:03.84.3","1","32.0","--","--","--","00:00:00","00:30:04","--","--"
Ellittica,2023-02-10 20:13:39,false,"Ellittica","6.90","435","00:35:11","132","161","3.2","136","173","11.8","--","--","--","0.00","0.0","0.0","0","--","--","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","27.0","0:00","No","35:10.86.3","1","29.0","--","--","--","00:00:00","00:35:11","--","--"
Trail Running,2023-02-09 13:00:08,false,"Castel Mella Trail Running","24.45","1,674","02:00:04","143","154","5.0","169","182","4:55","4:15","69","70","1.20","8.4","10.4","255","49.8% S / 50.2% D","--","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","13.0","0:00","No","02:06.15.5","25","27.0","34","21","49","02:00:00","02:00:04","96","136"
Cardio,2023-02-08 20:37:26,false,"Cardio","0.00","339","01:12:27","85","119","0.3","--","--","--","--","--","--","0.00","0.0","0.0","0","--","--","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","28.0","0:00","No","01:12:26.74.2","1","32.0","22","16","34","00:00:00","01:12:27","--","--"
Ellittica,2023-02-08 19:55:34,false,"Ellittica","8.59","303","00:40:05","106","114","1.2","139","169","12.9","--","--","--","0.00","0.0","0.0","0","--","--","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","27.0","0:00","No","40:04.68.8","1","30.0","27","15","33","00:00:00","00:40:05","--","--"
Trail Running,2023-02-07 12:31:00,false,"Castel Mella Trail Running","24.14","1,624","02:00:04","138","149","4.8","170","190","4:58","4:25","59","53","1.18","8.5","10.3","255","49.2% S / 50.8% D","--","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","14.0","0:00","No","00:40.14.3","25","27.0","31","20","43","01:59:56","02:00:04","97","135"
Trail Running,2023-02-04 08:08:43,false,"Brescia Trail Running","50.48","3,856","06:44:35","125","146","5.0","145","227","8:01","5:07","1,829","1,820","0.85","11.2","9.4","352","49.9% S / 50.1% D","--","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","13.0","0:00","No","02:55.93.6","51","28.0","31","19","45","06:42:56","06:56:57","139","862"
Ciclismo indoor,2023-02-03 20:40:29,false,"Ciclismo indoor","23.43","347","01:05:02","94","107","0.9","--","--","21.6","--","--","--","0.00","0.0","0.0","0","--","--","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","30.0","0:00","No","01:05:02.27.9","1","33.0","26","15","37","00:00:00","01:05:02","--","--"
